# 1:time 2:hplus 3:hcross
1.1118477623e-02 -2.5699590363e-03 1.2191245918e-06
1.1127733131e-02 -2.3188188239e-03 3.9302740981e-06
1.1136988253e-02 -2.0779998642e-03 6.0499884852e-06
1.1146244375e-02 -1.8502113925e-03 7.7221026773e-06
1.1155498632e-02 -1.6484649039e-03 1.0029734928e-05
1.1164753305e-02 -1.4885667467e-03 1.1859786311e-05
1.1174007093e-02 -1.3831131124e-03 1.3230517256e-05
1.1183264670e-02 -1.3313705816e-03 1.4453449028e-05
1.1192521914e-02 -1.3296940759e-03 1.5832952219e-05
1.1201775790e-02 -1.3933207462e-03 1.6603442216e-05
1.1211031234e-02 -1.5413483001e-03 1.6774228584e-05
1.1220285490e-02 -1.7778860761e-03 1.6598144780e-05
1.1229539839e-02 -2.0905252249e-03 1.5914217918e-05
1.1238795056e-02 -2.4602452394e-03 1.4925038705e-05
1.1248048445e-02 -2.8751483773e-03 1.3802041712e-05
1.1257303808e-02 -3.3141136872e-03 1.2099257569e-05
1.1266558697e-02 -3.7424303320e-03 1.0569397554e-05
1.1275811627e-02 -4.1264386343e-03 9.8153782660e-06
1.1285066823e-02 -4.4442828908e-03 8.6057671107e-06
1.1294321809e-02 -4.6747787667e-03 6.9027007883e-06
1.1303577352e-02 -4.8046239320e-03 5.2662260856e-06
1.1312831110e-02 -4.8360211582e-03 4.3789457574e-06
1.1322084889e-02 -4.7743129427e-03 4.1518303171e-06
1.1331346808e-02 -4.6374621494e-03 2.0866424828e-06
1.1340603990e-02 -4.4413620955e-03 6.4093453725e-07
1.1349858007e-02 -4.1814820331e-03 6.3274488344e-07
1.1359113492e-02 -3.8759423383e-03 4.2142166489e-07
1.1368368147e-02 -3.5344784436e-03 8.3580399471e-07
1.1377627582e-02 -3.1495032304e-03 3.6063883003e-07
1.1386890933e-02 -2.7454761295e-03 -3.5583575375e-07
1.1396148828e-02 -2.3433312987e-03 -2.4760067337e-07
1.1405408419e-02 -1.9355041698e-03 4.5347918828e-08
1.1414663341e-02 -1.5147080358e-03 6.0922491274e-08
1.1423920196e-02 -1.1065247144e-03 -1.6813027074e-07
1.1433174530e-02 -7.3327320906e-04 -2.9244699939e-07
1.1442430256e-02 -4.0107305000e-04 -2.7517887227e-07
1.1451687889e-02 -1.1682809058e-04 2.4237597146e-07
1.1460945741e-02 1.1149398016e-04 5.2639748025e-07
1.1470202921e-02 2.8730532444e-04 -6.0220389190e-07
1.1479461042e-02 4.0009704043e-04 -4.3443414447e-07
1.1488722946e-02 4.3321074727e-04 3.3545487658e-07
1.1497985384e-02 3.8556007702e-04 -7.2957106362e-07
1.1507241345e-02 2.5498982247e-04 -1.1778902114e-07
1.1516497482e-02 4.4255578142e-05 1.4320879284e-06
1.1525752618e-02 -2.5026506099e-04 1.6509506619e-06
1.1535006056e-02 -6.3545576762e-04 3.0801617365e-06
1.1544261616e-02 -1.1104346221e-03 4.2230314349e-06
1.1553528587e-02 -1.6619262885e-03 4.7048335113e-06
1.1562787443e-02 -2.2660087644e-03 6.6965265956e-06
1.1572046082e-02 -2.9063495863e-03 7.8020774522e-06
1.1581319785e-02 -3.5714998920e-03 8.5074277632e-06
1.1590578010e-02 -4.2170080306e-03 9.6720724336e-06
1.1599852070e-02 -4.7801205365e-03 1.1129279899e-05
1.1609110514e-02 -5.2299913814e-03 1.1562527525e-05
1.1618366992e-02 -5.5659396730e-03 1.0676272339e-05
1.1627622363e-02 -5.7850711432e-03 1.0954174009e-05
1.1636879941e-02 -5.8656679334e-03 1.0848304909e-05
1.1646178232e-02 -5.8130160123e-03 8.9969404201e-06
1.1655442875e-02 -5.6489174112e-03 8.2397094887e-06
1.1664698317e-02 -5.4037915344e-03 7.7608868596e-06
1.1673950113e-02 -5.0787828630e-03 6.3935259992e-06
1.1683211293e-02 -4.6866075281e-03 4.8731520502e-06
1.1692465552e-02 -4.2632345014e-03 3.8162439694e-06
1.1701721421e-02 -3.8095338087e-03 2.8009615337e-06
1.1710974974e-02 -3.3347080722e-03 1.1695937741e-06
1.1720230053e-02 -2.8610723973e-03 1.5700510754e-07
1.1729484131e-02 -2.3830315855e-03 -2.7219787916e-07
1.1738742895e-02 -1.8756337750e-03 -9.8673081125e-07
1.1747997964e-02 -1.3518606619e-03 -1.8299601398e-06
1.1757253513e-02 -8.5264054774e-04 -2.8183744652e-06
1.1766507457e-02 -3.9996862009e-04 -3.0884813969e-06
1.1775763924e-02 2.0083957094e-06 -3.1641021234e-06
1.1785021791e-02 3.5179636653e-04 -4.6398518374e-06
1.1794311280e-02 6.3851558300e-04 -4.9227920651e-06
1.1803569687e-02 8.5345895699e-04 -4.7764285691e-06
1.1812828846e-02 9.7817863539e-04 -5.0792500363e-06
1.1822112957e-02 1.0015394498e-03 -4.8248611493e-06
1.1831397838e-02 9.4344133620e-04 -4.8558446230e-06
1.1840727401e-02 8.1817822045e-04 -4.9429001972e-06
1.1850075217e-02 6.1917392358e-04 -3.8161668548e-06
1.1859343387e-02 3.1412879438e-04 -3.3374954120e-06
1.1868653334e-02 -1.1164936406e-04 -3.2894033457e-06
1.1877941458e-02 -6.3417614595e-04 -2.3531955447e-06
1.1887199710e-02 -1.2344093122e-03 -1.2085830665e-06
1.1896454137e-02 -1.9144175887e-03 -4.5611441984e-08
1.1905705997e-02 -2.6726782605e-03 -2.0261016298e-07
1.1914958459e-02 -3.4765580308e-03 -8.3773790408e-07
1.1924213814e-02 -4.2532972504e-03 1.6856161264e-07
1.1933471258e-02 -4.9415439102e-03 1.0290053048e-06
1.1942723523e-02 -5.5234344921e-03 8.8369169349e-07
1.1951975861e-02 -5.9886869593e-03 4.1474203434e-07
1.1961231190e-02 -6.3218626162e-03 -2.2440047556e-07
1.1970484736e-02 -6.5048752445e-03 -9.1583243522e-07
1.1979737437e-02 -6.5412224109e-03 -1.3134853235e-06
