# 1:time 2:hplus 3:hcross
1.0010400000e-02 0.0000000000e+00 0.0000000000e+00
1.0020800000e-02 -3.0099826881e-03 -6.8877873896e-08
1.0031200000e-02 -4.1783454326e-03 2.0730020820e-07
1.0041600000e-02 -3.6720153809e-03 8.3539753135e-07
1.0052000000e-02 -4.0198801011e-03 7.1030766373e-07
1.0062400000e-02 -2.8482813917e-03 -1.6111255025e-06
1.0072800000e-02 -2.5695155352e-03 -1.3915054430e-06
1.0083200000e-02 -4.8222226370e-03 6.3665379373e-07
1.0093600000e-02 -4.6375790642e-03 -1.7828286590e-07
1.0104000000e-02 -1.8413823582e-03 -1.1900489770e-06
1.0114400000e-02 -9.6919967962e-04 -9.9406724508e-07
1.0124800000e-02 -2.4128225731e-03 -1.4837553228e-07
1.0135200000e-02 -2.9693188502e-03 3.1437328353e-07
1.0145600000e-02 -1.3796302908e-03 -3.9345809014e-07
1.0155807341e-02 3.6216256041e-04 -8.9009613928e-07
1.0165129175e-02 5.5450658139e-04 -4.8121892489e-07
1.0174451294e-02 -2.1125729248e-04 -3.9094816324e-07
1.0183755888e-02 -6.4385788304e-04 -3.9011798468e-07
1.0193023722e-02 -5.0216867681e-04 -3.8880718209e-07
1.0202298361e-02 -3.5640938784e-04 7.8865996425e-07
1.0211573897e-02 -5.8047927820e-04 1.4566786913e-06
1.0220874776e-02 -1.1148748374e-03 1.5588119825e-07
1.0230130392e-02 -1.7329787964e-03 -2.6402992363e-07
1.0239397250e-02 -2.1583931721e-03 7.6195196709e-07
1.0248657987e-02 -2.4753417996e-03 -2.6480160527e-08
1.0257920135e-02 -2.9544145776e-03 -3.4958772059e-07
1.0267190348e-02 -3.5018379151e-03 5.4136205476e-07
1.0276459717e-02 -3.9549642939e-03 7.9641409070e-07
1.0285717427e-02 -4.3221812644e-03 5.7509006662e-07
1.0294974675e-02 -4.5904259409e-03 -1.0040295778e-06
1.0304234697e-02 -4.7526468034e-03 -1.1864240570e-06
1.0313488556e-02 -4.7857354044e-03 8.8091229774e-08
1.0322746047e-02 -4.6974270330e-03 -1.6263169291e-06
1.0332003068e-02 -4.5453339097e-03 -1.1470142316e-06
1.0341259384e-02 -4.3508742448e-03 1.5500476022e-06
1.0350521094e-02 -4.0736117663e-03 1.1179666224e-06
1.0359779359e-02 -3.6843661737e-03 7.0213562007e-07
1.0369036407e-02 -3.2371762843e-03 -2.7694427747e-07
1.0378294467e-02 -2.8187011747e-03 1.0321166106e-07
1.0387555852e-02 -2.4594083031e-03 6.1155033379e-07
1.0396829539e-02 -2.1289083149e-03 -5.1791583518e-07
