# 1:time 2:hplus 3:hcross
1.0010400000e-02 0.0000000000e+00 0.0000000000e+00
1.0020800000e-02 4.8210013676e-04 -8.5100913250e-08
1.0031200000e-02 4.3383625354e-05 -4.2364148531e-07
1.0041600000e-02 1.0454526519e-03 2.8150269724e-08
1.0052000000e-02 8.9868944668e-04 1.7343766688e-06
1.0062400000e-02 1.9482365944e-03 1.5524296875e-06
1.0072800000e-02 1.8265086608e-03 4.9095039984e-07
1.0083200000e-02 -1.1513671341e-03 1.0248205822e-08
1.0093600000e-02 -1.7822203622e-03 -1.5412301580e-06
1.0104000000e-02 9.8461712901e-05 -1.1481575093e-06
1.0114400000e-02 -3.8165130315e-04 2.8589505199e-07
1.0124800000e-02 -3.4001240138e-03 -4.2665760480e-08
1.0135200000e-02 -5.3561203344e-03 7.1960142230e-08
1.0145600000e-02 -5.0176364125e-03 -7.8630176213e-07
1.0155718829e-02 -4.4737533870e-03 -1.0663703173e-06
1.0164980109e-02 -5.3847858898e-03 -1.0913960638e-06
1.0174392194e-02 -6.8396173430e-03 -1.4757884207e-06
1.0183771459e-02 -7.5464409061e-03 5.3081057255e-07
1.0193051219e-02 -7.2546886819e-03 -3.6151983838e-07
1.0202311454e-02 -6.7053847655e-03 -1.3913398561e-06
1.0211575473e-02 -6.4502937722e-03 -7.1875821228e-07
1.0220835502e-02 -6.2780655706e-03 1.2102051135e-08
1.0230096999e-02 -5.9220921556e-03 6.5466872282e-07
1.0239351453e-02 -5.3367046545e-03 -1.3377868642e-06
1.0248605614e-02 -4.6963792434e-03 -4.5874841075e-07
1.0257859963e-02 -4.1434481703e-03 5.4870144589e-07
1.0267120301e-02 -3.6391979135e-03 -3.6361239690e-07
1.0276384550e-02 -3.2017456405e-03 4.1869806221e-07
1.0285642709e-02 -2.8692684112e-03 -7.0732645771e-07
1.0294897088e-02 -2.5274934411e-03 -3.9347866195e-07
1.0304151164e-02 -2.1003305785e-03 1.0267277668e-06
1.0313404716e-02 -1.7258786012e-03 6.4812534034e-07
1.0322658827e-02 -1.5195896470e-03 1.4985746892e-06
1.0331916456e-02 -1.4118212110e-03 2.8989434371e-07
1.0341175714e-02 -1.3286763026e-03 -3.8451610839e-07
1.0350448488e-02 -1.3567714416e-03 2.4469474983e-07
1.0359772377e-02 -1.6281849022e-03 1.0539342411e-06
1.0369056106e-02 -2.1377760179e-03 3.3652843552e-06
1.0378324786e-02 -2.7834724872e-03 1.7023856232e-06
1.0387580939e-02 -3.4865846590e-03 1.4955936463e-06
1.0396839586e-02 -4.2052192189e-03 2.6472232383e-06
1.0406098731e-02 -4.9278679343e-03 1.3223097805e-06
1.0415357454e-02 -5.6519336980e-03 1.8004275232e-06
1.0424616634e-02 -6.3346903012e-03 3.9873629116e-06
1.0433872568e-02 -6.9002073332e-03 3.8668988461e-06
1.0443128168e-02 -7.2804092067e-03 2.1446551190e-06
1.0452383303e-02 -7.4511182572e-03 1.6840751402e-06
1.0461641071e-02 -7.4369698461e-03 1.9884935945e-06
1.0470896386e-02 -7.2584089339e-03 2.6548864768e-06
1.0480152712e-02 -6.9510382190e-03 2.9919648157e-06
1.0489407139e-02 -6.5348574984e-03 3.2730963051e-06
1.0498664874e-02 -6.0107307553e-03 3.5418365512e-06
1.0507922383e-02 -5.4197249411e-03 3.9161159202e-06
1.0517183292e-02 -4.7902585556e-03 4.1906484441e-06
1.0526438854e-02 -4.1438420479e-03 4.9895668169e-06
1.0535701850e-02 -3.5043589762e-03 5.6398865560e-06
1.0544959409e-02 -2.8793189607e-03 4.4139274527e-06
1.0554218673e-02 -2.2853564783e-03 2.7871437133e-06
1.0563485880e-02 -1.7425467997e-03 4.0228165130e-06
1.0572758411e-02 -1.2617364026e-03 3.6867264370e-06
1.0582038759e-02 -8.4689831717e-04 2.8113477499e-06
1.0591300032e-02 -5.0299533246e-04 3.3035193873e-06
