# 1:time 2:hplus 3:hcross
1.0010400000e-02 0.0000000000e+00 0.0000000000e+00
1.0020800000e-02 1.8484915887e-03 -4.5553414501e-08
1.0031200000e-02 1.2041023945e-03 2.0470038650e-07
1.0041600000e-02 1.9460659317e-03 1.4851436675e-07
1.0052000000e-02 1.5641412513e-03 8.7634459376e-08
1.0062400000e-02 2.5866680609e-03 -2.4496465230e-07
1.0072800000e-02 2.2684194194e-03 -2.8068113817e-07
1.0083200000e-02 -1.0781223387e-03 5.8230185758e-09
1.0093600000e-02 -1.8046286840e-03 -2.3743507002e-07
1.0104000000e-02 2.2536643173e-04 5.6160228069e-07
1.0114400000e-02 -1.4442717299e-04 4.7928179879e-07
1.0124800000e-02 -3.0357842851e-03 3.1258323915e-08
1.0135200000e-02 -4.7523880251e-03 2.3191319679e-08
1.0145600000e-02 -4.0967273073e-03 -2.6366221568e-08
1.0155097819e-02 -3.1058044057e-03 -4.2207012782e-08
1.0164438920e-02 -3.5838559004e-03 9.1792031300e-08
1.0173824886e-02 -4.7600707609e-03 7.0833128448e-07
1.0183112470e-02 -5.4154137404e-03 -1.2829896357e-07
1.0192399965e-02 -5.3016771430e-03 -1.1771869696e-06
1.0201662625e-02 -4.9072268371e-03 -2.9230634563e-07
1.0210916338e-02 -4.5686851310e-03 5.9781621701e-07
1.0220179852e-02 -4.2376060069e-03 -3.2240962852e-07
1.0229451453e-02 -3.8636389160e-03 -4.6625461512e-07
1.0238712297e-02 -3.4835867500e-03 2.1819679628e-07
1.0247983882e-02 -3.1753219833e-03 7.6856768828e-07
1.0257250634e-02 -2.8479199618e-03 -1.0054525093e-06
1.0266524546e-02 -2.3871156734e-03 -2.0085697248e-06
1.0275780526e-02 -1.9955451580e-03 -1.6712391015e-06
1.0285036451e-02 -1.8243265785e-03 -1.0013078652e-06
1.0294290237e-02 -1.7211924011e-03 5.8541880490e-07
1.0303551919e-02 -1.5505888955e-03 5.3973117790e-07
1.0312812219e-02 -1.3982278991e-03 2.0628026819e-07
1.0322094628e-02 -1.4364701373e-03 -1.6808556385e-07
1.0331355120e-02 -1.6542427562e-03 7.7640563885e-07
1.0340609695e-02 -1.8828266205e-03 1.4260693019e-06
1.0349867221e-02 -2.0654014400e-03 -3.5317460809e-07
1.0359121934e-02 -2.3343602823e-03 -1.3844834534e-06
1.0368380421e-02 -2.8151797479e-03 -5.3142619637e-07
1.0377633817e-02 -3.4345535334e-03 -7.8384927916e-07
1.0386889449e-02 -4.0100668883e-03 -1.3349436326e-06
1.0396147507e-02 -4.4534452464e-03 -5.9302118018e-07
1.0405402565e-02 -4.7894290770e-03 1.6822772098e-07
1.0414657610e-02 -5.0678203819e-03 -4.9207620610e-07
1.0423912937e-02 -5.2874988894e-03 -1.7168101297e-06
1.0433168376e-02 -5.3986667218e-03 -1.4970391671e-06
1.0442429201e-02 -5.3619899173e-03 -9.4237770060e-07
1.0451683990e-02 -5.1834705968e-03 -5.9404746801e-07
1.0460942729e-02 -4.9170681616e-03 -1.4025075571e-07
1.0470196965e-02 -4.5849487142e-03 -7.1017373810e-07
1.0479453043e-02 -4.1869705299e-03 -7.5949875336e-07
1.0488710844e-02 -3.7327165839e-03 9.7578377803e-07
1.0497976445e-02 -3.2353453052e-03 1.1034171479e-06
1.0507234627e-02 -2.7449028927e-03 2.3409699726e-07
1.0516494700e-02 -2.2911015186e-03 7.3617783763e-07
1.0525756007e-02 -1.8447623668e-03 2.5237680904e-06
1.0535014213e-02 -1.3875788651e-03 3.1015044729e-06
1.0544273897e-02 -9.5422422793e-04 2.0280907720e-06
1.0553532972e-02 -5.8262649044e-04 3.0332733963e-06
1.0562792163e-02 -2.8875188397e-04 4.3760607764e-06
1.0572051276e-02 -6.3273871334e-05 3.0985615380e-06
1.0581306264e-02 9.4409136078e-05 2.5543611386e-06
1.0590561732e-02 1.4944184185e-04 4.3562124613e-06
1.0599820574e-02 8.8141206685e-05 6.0972394314e-06
1.0609076530e-02 -8.3517805568e-05 6.4614865623e-06
1.0618330299e-02 -3.5279409257e-04 5.3401744845e-06
1.0627585254e-02 -7.1250299607e-04 5.3364982771e-06
1.0636858731e-02 -1.1566338241e-03 5.3592941696e-06
1.0646119811e-02 -1.6703995029e-03 4.6277870234e-06
1.0655374261e-02 -2.2314832912e-03 4.5714336550e-06
1.0664630024e-02 -2.8019619638e-03 4.2464159779e-06
1.0673882992e-02 -3.3490682019e-03 4.1348035534e-06
1.0683137594e-02 -3.8503771114e-03 4.5228461841e-06
1.0692391161e-02 -4.2879841249e-03 3.7101186437e-06
1.0701644203e-02 -4.6382931716e-03 2.5759168834e-06
1.0710898484e-02 -4.8742930123e-03 2.6515790903e-06
1.0720154008e-02 -4.9788522050e-03 2.6448213806e-06
1.0729406117e-02 -4.9682051940e-03 2.4923080793e-06
1.0738659852e-02 -4.8632870362e-03 1.0219828034e-06
1.0747913940e-02 -4.6648070525e-03 -5.3151721420e-07
1.0757167785e-02 -4.3845251603e-03 -5.5002775206e-07
1.0766424266e-02 -4.0344589918e-03 -4.0176170867e-07
1.0775676402e-02 -3.6401513685e-03 -6.4773540971e-07
1.0784930636e-02 -3.2326594484e-03 -1.5614521925e-06
1.0794183974e-02 -2.8217149540e-03 -1.9033110299e-06
1.0803437424e-02 -2.4156228506e-03 -1.4545795922e-06
1.0812690048e-02 -2.0348928587e-03 -9.2632046536e-07
1.0821944608e-02 -1.7075544552e-03 -1.4279920997e-06
1.0831198918e-02 -1.4452654510e-03 -1.2485348700e-06
1.0840454147e-02 -1.2466664363e-03 -1.2141312181e-06
1.0849708585e-02 -1.1218565075e-03 -5.2363629041e-07
1.0858964908e-02 -1.0814819089e-03 1.4128435504e-06
1.0868224307e-02 -1.1231409270e-03 2.3967569819e-06
1.0877484599e-02 -1.2455434603e-03 2.5745323836e-06
1.0886740013e-02 -1.4467427906e-03 1.9093874025e-06
1.0895998090e-02 -1.7283505500e-03 3.0709663985e-06
1.0905253032e-02 -2.0991646526e-03 4.4679306014e-06
1.0914522642e-02 -2.5567443299e-03 4.6257925429e-06
1.0923792965e-02 -3.0706835098e-03 2.9974607431e-06
1.0933048725e-02 -3.5935657117e-03 1.6713575876e-06
1.0942317540e-02 -4.0876797491e-03 3.0650038721e-06
1.0951579371e-02 -4.5302748128e-03 3.2945692654e-06
1.0960837499e-02 -4.8971345281e-03 2.6483540760e-06
1.0970094825e-02 -5.1624657949e-03 2.1806640544e-06
1.0979352058e-02 -5.2941582397e-03 1.5437716220e-06
1.0988605944e-02 -5.2875881592e-03 9.2025229801e-07
1.0997863737e-02 -5.1737551219e-03 -5.6806157213e-07
1.1006482340e-02 -4.9655449139e-03 -1.1889217776e-06
1.1015735297e-02 -4.7067096542e-03 -2.4329058975e-07
1.1024989709e-02 -4.3766872470e-03 9.3933146077e-07
1.1034243576e-02 -3.9874631561e-03 1.1094479467e-06
1.1043496604e-02 -3.5581206686e-03 3.7478611522e-08
1.1052755728e-02 -3.0913379780e-03 -1.6034863620e-07
1.1062014734e-02 -2.6026749321e-03 -3.8523068324e-07
1.1071275023e-02 -2.1186242437e-03 -7.6656275139e-07
1.1080531373e-02 -1.6492457652e-03 -1.5434419208e-06
1.1089784408e-02 -1.1903149679e-03 -2.4140638336e-06
1.1099037173e-02 -7.5833824617e-04 -1.6456002660e-06
1.1108291945e-02 -3.7881453509e-04 -2.2928363074e-06
1.1117546058e-02 -6.4349423648e-05 -4.5559251902e-06
1.1126800818e-02 1.8236838058e-04 -5.6390592671e-06
1.1136057770e-02 3.5267713364e-04 -4.3077666118e-06
1.1145311859e-02 4.2138235643e-04 -4.1492240998e-06
1.1154566926e-02 3.7952171461e-04 -5.8401602244e-06
1.1163822647e-02 2.4305032969e-04 -5.3038085793e-06
1.1173076107e-02 2.2603560083e-05 -5.2697786381e-06
1.1182332974e-02 -3.1099396130e-04 -5.8430690606e-06
1.1191589811e-02 -7.9582152635e-04 -4.4621113950e-06
1.1200850678e-02 -1.4140012130e-03 -4.2502157300e-06
1.1210113823e-02 -2.1092845816e-03 -5.9384467341e-06
1.1219370305e-02 -2.8394041472e-03 -5.3338535751e-06
1.1228623601e-02 -3.6147682560e-03 -2.4688364267e-06
1.1237881981e-02 -4.4395826857e-03 -1.2685040165e-06
1.1247137483e-02 -5.2312295430e-03 -1.0847141889e-06
1.1256390846e-02 -5.8834683911e-03 -6.2495077179e-07
1.1265644848e-02 -6.3628393597e-03 2.0575743401e-07
1.1274897351e-02 -6.6825955630e-03 2.3750136745e-06
1.1284151552e-02 -6.8235093415e-03 3.5682868306e-06
1.1293405757e-02 -6.7806661594e-03 3.5089290044e-06
1.1302659023e-02 -6.5912582538e-03 3.9372872442e-06
1.1311913155e-02 -6.3016513882e-03 4.2211339422e-06
1.1321166420e-02 -5.9256778653e-03 6.3798358919e-06
